
*** DEVICE (GeForce GTX 1650 with Max-Q Design) (2020-10-18 23: 2:11)
--- IMAGE = 8(Data/Input/Grass_texture_2048_2048.jpg), GF_SIZE = 7, N_EXE = 7,
     KER = 111, GWS = (2048, 2048), LWS = (32, 16), Ave_time(S_to_E): 7.069ms

*** DEVICE (NVIDIA GeForce GTX 1650 with Max-Q Design) (2021- 9- 9 15:55:21)
--- IMAGE = 8(Data/Input/Grass_texture_2048_2048.jpg), GF_SIZE = 7, N_EXE = 7,
     KER = 111, GWS = (2048, 2048), LWS = (32, 16), Ave_time(S_to_E): 6.946ms

*** DEVICE (NVIDIA GeForce GTX 1650 with Max-Q Design) (2021- 9- 9 16: 1: 0)
--- IMAGE = 8(Data/Input/Grass_texture_2048_2048.jpg), GF_SIZE = 7, N_EXE = 7,
     KER = 111, GWS = (2048, 2048), LWS = (32, 16), Ave_time(S_to_E): 7.196ms

*** DEVICE (Bonaire) (2021-11- 1 23: 6:33)

*** DEVICE (Bonaire) (2021-11- 1 23: 9:37)

*** DEVICE (Bonaire) (2021-11- 1 23:10:59)

*** DEVICE (Bonaire) (2021-11- 1 23:16:27)

*** DEVICE (Bonaire) (2021-11- 1 23:25:36)

*** DEVICE (Bonaire) (2021-11- 1 23:36:32)

*** DEVICE (Bonaire) (2021-11- 1 23:40:13)

*** DEVICE (Bonaire) (2021-11- 1 23:54:30)

*** DEVICE (Bonaire) (2021-11- 1 23:57:16)

*** DEVICE (Bonaire) (2021-11- 2 11: 6:12)

*** DEVICE (Bonaire) (2021-11- 2 11: 8:18)

*** DEVICE (Bonaire) (2021-11- 2 11:24:57)
--- , Ave_time(S_to_E): 1.758ms

*** DEVICE (Bonaire) (2021-11- 2 12:26: 3)
--- , Ave_time(S_to_E): 4.664ms

*** DEVICE (Bonaire) (2021-11- 2 12:28:28)

*** DEVICE (Bonaire) (2021-11- 2 12:29:31)

*** DEVICE (Bonaire) (2021-11- 2 12:32:20)

*** DEVICE (Bonaire) (2021-11- 2 12:44:13)

*** DEVICE (Bonaire) (2021-11- 2 12:46: 1)
--- , Ave_time(S_to_E): 4.648ms

*** DEVICE (Bonaire) (2021-11- 2 12:57:49)
--- , Ave_time(S_to_E): 4.708ms

*** DEVICE (Bonaire) (2021-11- 2 12:58:17)
--- , Ave_time(S_to_E): 2.779ms

*** DEVICE (Bonaire) (2021-11- 2 12:58:56)

*** DEVICE (Bonaire) (2021-11- 2 12:59:10)

*** DEVICE (Bonaire) (2021-11- 2 13: 0:16)
--- , Ave_time(S_to_E): 2.238ms

*** DEVICE (Bonaire) (2021-11- 2 13: 2:47)
--- , Ave_time(S_to_E): 2.214ms

*** DEVICE (Bonaire) (2021-11- 2 13: 4:52)
--- , Ave_time(S_to_E): 2.217ms

*** DEVICE (Bonaire) (2021-11- 2 13:11:10)
--- , Ave_time(S_to_E): 2.177ms

*** DEVICE (Bonaire) (2021-11- 2 13:13:14)
--- , Ave_time(S_to_E): 2.208ms

*** DEVICE (Bonaire) (2021-11- 2 13:19:55)
--- , Ave_time(S_to_E): 4.089ms

*** DEVICE (Bonaire) (2021-11- 2 13:22:12)

*** DEVICE (Bonaire) (2021-11- 2 13:22:34)
--- , Ave_time(S_to_E): 4.064ms

*** DEVICE (Bonaire) (2021-11- 2 13:24:43)
